Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
MINI John Cooper Works Hardtop,2,4,SemiAuto-8,2,Gasoline,CA,small car,7,25,34,29,6,No,308
MINI John Cooper Works Hardtop,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,25,34,29,6,No,308
ROLLS-ROYCE Ghost,6.7,12,SemiAuto-8,4,Gasoline,CA,large car,3,12,19,14,2,No,624
ROLLS-ROYCE Ghost,6.7,12,SemiAuto-8,4,Gasoline,FA,large car,3,12,19,14,2,No,624
ROLLS-ROYCE Ghost Black Badge,6.7,12,SemiAuto-8,4,Gasoline,CA,large car,3,12,19,14,2,No,624
ROLLS-ROYCE Ghost Black Badge,6.7,12,SemiAuto-8,4,Gasoline,FA,large car,3,12,19,14,2,No,624
ROLLS-ROYCE Ghost Extended,6.7,12,SemiAuto-8,4,Gasoline,CA,large car,3,12,19,14,2,No,624
ROLLS-ROYCE Ghost Extended,6.7,12,SemiAuto-8,4,Gasoline,FA,large car,3,12,19,14,2,No,624
ROLLS-ROYCE Phantom,6.7,12,SemiAuto-8,2,Gasoline,CA,large car,3,12,20,14,2,No,615
ROLLS-ROYCE Phantom,6.7,12,SemiAuto-8,2,Gasoline,FA,large car,3,12,20,14,2,No,615
ROLLS-ROYCE Phantom Extended,6.7,12,SemiAuto-8,2,Gasoline,CA,large car,3,12,20,14,2,No,615
ROLLS-ROYCE Phantom Extended,6.7,12,SemiAuto-8,2,Gasoline,FA,large car,3,12,20,14,2,No,615
TOYOTA Avalon,3.5,6,SemiAuto-8,2,Gasoline,CA,midsize car,5,22,31,25,5,No,352
TOYOTA Avalon,3.5,6,SemiAuto-8,2,Gasoline,FA,midsize car,5,22,31,25,5,No,352
TOYOTA Avalon XLE,3.5,6,SemiAuto-8,2,Gasoline,CA,midsize car,5,22,32,26,5,No,341
TOYOTA Avalon XLE,3.5,6,SemiAuto-8,2,Gasoline,FA,midsize car,5,22,32,26,5,No,341
TOYOTA Camry,3.5,6,SemiAuto-8,2,Gasoline,CA,midsize car,5,22,33,26,5,No,338
TOYOTA Camry,3.5,6,SemiAuto-8,2,Gasoline,FA,midsize car,5,22,33,26,5,No,338
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,2,Gasoline,CA,midsize car,7,28,39,32,7,Yes,280
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,2,Gasoline,FA,midsize car,7,28,39,32,7,Yes,280
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,4,Gasoline,CA,midsize car,6,25,34,29,6,No,310
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,4,Gasoline,FA,midsize car,6,25,34,29,6,No,310
TOYOTA Camry TRD,3.5,6,SemiAuto-8,2,Gasoline,CA,midsize car,5,22,31,25,5,No,354
TOYOTA Camry TRD,3.5,6,SemiAuto-8,2,Gasoline,FA,midsize car,5,22,31,25,5,No,354
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,2,Gasoline,CA,midsize car,7,27,38,31,7,Yes,286
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,2,Gasoline,FA,midsize car,7,27,38,31,7,Yes,286
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,4,Gasoline,CA,midsize car,6,25,34,28,6,No,315
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,4,Gasoline,FA,midsize car,6,25,34,28,6,No,315
TOYOTA Camry XSE,3.5,6,SemiAuto-8,2,Gasoline,CA,midsize car,5,22,32,26,5,No,345
TOYOTA Camry XSE,3.5,6,SemiAuto-8,2,Gasoline,FA,midsize car,5,22,32,26,5,No,345
TOYOTA Supra 2.0,2,4,SemiAuto-8,2,Gasoline,CA,small car,7,25,32,28,6,No,317
TOYOTA Supra 2.0,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,25,32,28,6,No,317
TOYOTA Supra 3.0,3,6,SemiAuto-8,2,Gasoline,CA,small car,5,22,30,25,5,No,351
TOYOTA Supra 3.0,3,6,SemiAuto-8,2,Gasoline,FA,small car,5,22,30,25,5,No,351
VOLKSWAGEN Jetta,1.5,4,SemiAuto-8,2,Gasoline,CA,small car,7,31,41,35,7,Yes,256
VOLKSWAGEN Jetta,1.5,4,SemiAuto-8,2,Gasoline,FA,small car,7,31,41,35,7,Yes,256
VOLKSWAGEN Jetta SE/SEL,1.5,4,SemiAuto-8,2,Gasoline,CA,small car,7,29,40,33,7,Yes,268
VOLKSWAGEN Jetta SE/SEL,1.5,4,SemiAuto-8,2,Gasoline,FA,small car,7,29,40,33,7,Yes,268
VOLVO S60 B5,2,4,SemiAuto-8,2,Gasoline,FA,small car,5,26,35,30,6,No,299
VOLVO S60 B5,2,4,SemiAuto-8,4,Gasoline,FA,small car,5,25,33,28,6,No,316
VOLVO S90 B6,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,7,23,31,26,5,No,341
VOLVO S90 B6,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,7,23,31,26,5,No,341
INFINITI Q50,3,6,SemiAuto-7,2,Gasoline,CA,midsize car,3,20,29,23,5,No,388
INFINITI Q50,3,6,SemiAuto-7,2,Gasoline,FA,midsize car,3,20,29,23,5,No,388
INFINITI Q50,3,6,SemiAuto-7,4,Gasoline,CA,midsize car,3,19,27,22,5,No,403
INFINITI Q50,3,6,SemiAuto-7,4,Gasoline,FA,midsize car,3,19,27,22,5,No,403
INFINITI Q50 Red Sport,3,6,SemiAuto-7,2,Gasoline,CA,midsize car,3,20,26,22,5,No,403
INFINITI Q50 Red Sport,3,6,SemiAuto-7,2,Gasoline,FA,midsize car,3,20,26,22,5,No,403
INFINITI Q50 Red Sport,3,6,SemiAuto-7,4,Gasoline,CA,midsize car,3,19,26,22,5,No,411
INFINITI Q50 Red Sport,3,6,SemiAuto-7,4,Gasoline,FA,midsize car,3,19,26,22,5,No,411
INFINITI Q60,3,6,SemiAuto-7,2,Gasoline,CA,small car,3,19,28,22,5,No,404
INFINITI Q60,3,6,SemiAuto-7,2,Gasoline,FA,small car,3,19,28,22,5,No,404
INFINITI Q60,3,6,SemiAuto-7,4,Gasoline,CA,small car,3,19,27,22,5,No,403
INFINITI Q60,3,6,SemiAuto-7,4,Gasoline,FA,small car,3,19,27,22,5,No,403
INFINITI Q60 Red Sport,3,6,SemiAuto-7,2,Gasoline,CA,small car,3,20,27,22,5,No,405
INFINITI Q60 Red Sport,3,6,SemiAuto-7,2,Gasoline,FA,small car,3,20,27,22,5,No,405
INFINITI Q60 Red Sport,3,6,SemiAuto-7,4,Gasoline,CA,small car,3,19,26,21,4,No,423
INFINITI Q60 Red Sport,3,6,SemiAuto-7,4,Gasoline,FA,small car,3,19,26,21,4,No,423
LEXUS IS 300,3.5,6,SemiAuto-6,4,Gasoline,CA,small car,5,19,26,22,5,No,407
LEXUS IS 300,3.5,6,SemiAuto-6,4,Gasoline,FA,small car,5,19,26,22,5,No,407
LEXUS IS 350,3.5,6,SemiAuto-6,4,Gasoline,CA,small car,5,19,26,22,5,No,407
LEXUS IS 350,3.5,6,SemiAuto-6,4,Gasoline,FA,small car,5,19,26,22,5,No,407
LEXUS RC 300,3.5,6,SemiAuto-6,4,Gasoline,CA,small car,5,19,26,22,5,No,407
LEXUS RC 300,3.5,6,SemiAuto-6,4,Gasoline,FA,small car,5,19,26,22,5,No,407
LEXUS RC 350,3.5,6,SemiAuto-6,4,Gasoline,CA,small car,5,19,26,22,5,No,407
LEXUS RC 350,3.5,6,SemiAuto-6,4,Gasoline,FA,small car,5,19,26,22,5,No,407
MAZDA 3,2,4,SemiAuto-6,2,Gasoline,CA,small car,7,28,36,31,7,Yes,287
MAZDA 3,2,4,SemiAuto-6,2,Gasoline,FA,small car,7,28,36,31,7,Yes,287
MAZDA 3,2.5,4,SemiAuto-6,2,Gasoline,CA,midsize car,7,26,34,29,6,No,306
MAZDA 3,2.5,4,SemiAuto-6,2,Gasoline,CA,small car,7,26,35,30,6,No,300
MAZDA 3,2.5,4,SemiAuto-6,2,Gasoline,FA,midsize car,7,26,34,29,6,No,306
MAZDA 3,2.5,4,SemiAuto-6,2,Gasoline,FA,small car,7,26,35,30,6,No,300
MAZDA 3,2.5,4,SemiAuto-6,4,Gasoline,CA,midsize car,7,25,31,27,6,No,326
MAZDA 3,2.5,4,SemiAuto-6,4,Gasoline,CA,small car,7,25,33,28,6,No,320
MAZDA 3,2.5,4,SemiAuto-6,4,Gasoline,FA,midsize car,7,25,31,27,6,No,326
MAZDA 3,2.5,4,SemiAuto-6,4,Gasoline,FA,small car,7,25,33,28,6,No,320
MAZDA 3,2.5,4,SemiAuto-6,4,Gasoline,CA,midsize car,5,23,31,26,5,No,337
MAZDA 3,2.5,4,SemiAuto-6,4,Gasoline,CA,small car,5,23,32,27,6,No,334
MAZDA 3,2.5,4,SemiAuto-6,4,Gasoline,FA,midsize car,5,23,31,26,5,No,337
MAZDA 3,2.5,4,SemiAuto-6,4,Gasoline,FA,small car,5,23,32,27,6,No,334
MAZDA MX-5,2,4,SemiAuto-6,2,Gasoline,CA,small car,3,26,35,30,6,No,299
MAZDA MX-5,2,4,SemiAuto-6,2,Gasoline,FA,small car,3,26,35,30,6,No,299
SUBARU BRZ,2.4,4,SemiAuto-6,2,Gasoline,CA,small car,3,21,30,25,5,No,362
SUBARU BRZ,2.4,4,SemiAuto-6,2,Gasoline,FA,small car,3,21,30,25,5,No,362
TOYOTA GR86,2.4,4,SemiAuto-6,2,Gasoline,CA,small car,3,21,31,25,5,No,360
TOYOTA GR86,2.4,4,SemiAuto-6,2,Gasoline,FA,small car,3,21,31,25,5,No,360
TOYOTA Tacoma,2.7,4,SemiAuto-6,2,Gasoline,CA,pickup,5,20,23,21,4,No,423
TOYOTA Tacoma,2.7,4,SemiAuto-6,2,Gasoline,FA,pickup,5,20,23,21,4,No,423
TOYOTA Tacoma,2.7,4,SemiAuto-6,4,Gasoline,CA,pickup,5,19,22,20,4,No,441
TOYOTA Tacoma,2.7,4,SemiAuto-6,4,Gasoline,FA,pickup,5,19,22,20,4,No,441
TOYOTA Tacoma,3.5,6,SemiAuto-6,2,Gasoline,CA,pickup,5,19,24,21,4,No,431
TOYOTA Tacoma,3.5,6,SemiAuto-6,2,Gasoline,FA,pickup,5,19,24,21,4,No,431
TOYOTA Tacoma,3.5,6,SemiAuto-6,4,Gasoline,CA,pickup,5,18,22,20,4,No,448
TOYOTA Tacoma,3.5,6,SemiAuto-6,4,Gasoline,FA,pickup,5,18,22,20,4,No,448
VOLKSWAGEN Passat,2,4,SemiAuto-6,2,Gasoline,CA,midsize car,7,24,36,28,6,No,315
VOLKSWAGEN Passat,2,4,SemiAuto-6,2,Gasoline,FA,midsize car,7,24,36,28,6,No,315
ACURA TLX,2,4,SemiAuto-10,2,Gasoline,CA,small car,7,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,2,Gasoline,FA,small car,7,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,4,Gasoline,CA,small car,7,21,29,24,5,No,369
ACURA TLX,2,4,SemiAuto-10,4,Gasoline,FA,small car,7,21,29,24,5,No,369
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4,Gasoline,CA,small car,7,21,29,24,5,No,371
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4,Gasoline,FA,small car,7,21,29,24,5,No,371
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2,Gasoline,CA,small car,7,22,30,25,5,No,357
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2,Gasoline,FA,small car,7,22,30,25,5,No,357
ACURA TLX Type-S,3,6,SemiAuto-10,4,Gasoline,CA,small car,5,19,25,21,4,No,420
ACURA TLX Type-S,3,6,SemiAuto-10,4,Gasoline,FA,small car,5,19,25,21,4,No,420
ACURA TLX Type-S Perf Tire,3,6,SemiAuto-10,4,Gasoline,CA,small car,5,19,24,21,4,No,421
ACURA TLX Type-S Perf Tire,3,6,SemiAuto-10,4,Gasoline,FA,small car,5,19,24,21,4,No,421
CADILLAC CT4,2.7,4,SemiAuto-10,2,Gasoline,CA,small car,6,21,31,25,5,No,356
CADILLAC CT4,2.7,4,SemiAuto-10,2,Gasoline,FA,small car,6,21,31,25,5,No,356
CADILLAC CT4,2.7,4,SemiAuto-10,4,Gasoline,CA,small car,6,21,29,24,5,No,375
CADILLAC CT4,2.7,4,SemiAuto-10,4,Gasoline,FA,small car,6,21,29,24,5,No,375
CADILLAC CT4 V,2.7,4,SemiAuto-10,2,Gasoline,CA,small car,6,20,29,23,5,No,385
CADILLAC CT4 V,2.7,4,SemiAuto-10,2,Gasoline,FA,small car,6,20,29,23,5,No,385
CADILLAC CT4 V,2.7,4,SemiAuto-10,4,Gasoline,CA,small car,6,20,28,23,5,No,386
CADILLAC CT4 V,2.7,4,SemiAuto-10,4,Gasoline,FA,small car,6,20,28,23,5,No,386
CADILLAC CT4 V,3.6,6,SemiAuto-10,2,Gasoline,CA,small car,5,16,24,19,4,No,478
CADILLAC CT4 V,3.6,6,SemiAuto-10,2,Gasoline,FA,small car,5,16,24,19,4,No,478
CADILLAC CT5,2,4,SemiAuto-10,2,Gasoline,CA,midsize car,7,23,33,27,6,No,333
CADILLAC CT5,2,4,SemiAuto-10,2,Gasoline,FA,midsize car,7,23,33,27,6,No,333
CADILLAC CT5,2,4,SemiAuto-10,4,Gasoline,CA,midsize car,7,22,30,25,5,No,358
CADILLAC CT5,2,4,SemiAuto-10,4,Gasoline,FA,midsize car,7,22,30,25,5,No,358
CADILLAC CT5,3,6,SemiAuto-10,2,Gasoline,CA,midsize car,5,19,27,22,5,No,405
CADILLAC CT5,3,6,SemiAuto-10,2,Gasoline,FA,midsize car,5,19,27,22,5,No,405
CADILLAC CT5,3,6,SemiAuto-10,4,Gasoline,CA,midsize car,5,18,26,21,4,No,419
CADILLAC CT5,3,6,SemiAuto-10,4,Gasoline,FA,midsize car,5,18,26,21,4,No,419
CADILLAC CT5 V,3,6,SemiAuto-10,2,Gasoline,CA,midsize car,5,18,27,21,4,No,423
CADILLAC CT5 V,3,6,SemiAuto-10,2,Gasoline,FA,midsize car,5,18,27,21,4,No,423
CADILLAC CT5 V,3,6,SemiAuto-10,4,Gasoline,CA,midsize car,5,18,26,21,4,No,419
CADILLAC CT5 V,3,6,SemiAuto-10,4,Gasoline,FA,midsize car,5,18,26,21,4,No,419
CADILLAC CT5 V,6.2,8,SemiAuto-10,2,Gasoline,CA,midsize car,3,13,22,16,3,No,557
CADILLAC CT5 V,6.2,8,SemiAuto-10,2,Gasoline,FA,midsize car,3,13,22,16,3,No,557
CHEVROLET Camaro,3.6,6,SemiAuto-10,2,Gasoline,CA,small car,6,18,29,22,5,No,404
CHEVROLET Camaro,3.6,6,SemiAuto-10,2,Gasoline,FA,small car,6,18,29,22,5,No,404
CHEVROLET Camaro,6.2,8,SemiAuto-10,2,Gasoline,CA,small car,1,13,21,16,3,No,571
CHEVROLET Camaro,6.2,8,SemiAuto-10,2,Gasoline,FA,small car,1,13,21,16,3,No,571
CHEVROLET Camaro,6.2,8,SemiAuto-10,2,Gasoline,CA,small car,1,16,26,20,4,No,452
CHEVROLET Camaro,6.2,8,SemiAuto-10,2,Gasoline,FA,small car,1,16,26,20,4,No,452
FORD F150,2.7,6,SemiAuto-10,2,Gasoline,CA,pickup,6,20,26,22,5,No,404
FORD F150,2.7,6,SemiAuto-10,2,Gasoline,FA,pickup,6,20,26,22,5,No,404
FORD F150,2.7,6,SemiAuto-10,4,Gasoline,CA,pickup,6,17,23,20,4,No,453
FORD F150,2.7,6,SemiAuto-10,4,Gasoline,CA,pickup,6,19,24,21,4,No,433
FORD F150,2.7,6,SemiAuto-10,4,Gasoline,FA,pickup,6,17,23,20,4,No,453
FORD F150,2.7,6,SemiAuto-10,4,Gasoline,FA,pickup,6,19,24,21,4,No,433
FORD F150,3.5,6,SemiAuto-10,2,Gasoline,CA,pickup,6,17,24,20,4,No,444
FORD F150,3.5,6,SemiAuto-10,2,Gasoline,CA,pickup,6,18,24,20,4,No,436
FORD F150,3.5,6,SemiAuto-10,2,Gasoline,FA,pickup,6,17,24,20,4,No,444
FORD F150,3.5,6,SemiAuto-10,2,Gasoline,FA,pickup,6,18,24,20,4,No,436
FORD F150,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,17,23,19,4,No,467
FORD F150,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,18,23,20,4,No,444
FORD F150,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,17,23,19,4,No,467
FORD F150,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,18,23,20,4,No,444
FORD F150 HEV,3.5,6,SemiAuto-10,2,Gasoline,CA,pickup,6,25,25,25,5,No,353
FORD F150 HEV,3.5,6,SemiAuto-10,2,Gasoline,FA,pickup,6,25,25,25,5,No,353
FORD F150 HEV,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,23,23,23,5,No,386
FORD F150 HEV,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,23,23,23,5,No,386
FORD F150 Raptor,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,14,18,15,2,No,593
FORD F150 Raptor,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,15,18,16,3,No,553
FORD F150 Raptor,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,14,18,15,2,No,593
FORD F150 Raptor,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,15,18,16,3,No,553
FORD F150 Raptor 37,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,14,16,15,2,No,596
FORD F150 Raptor 37,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,15,16,15,2,No,578
FORD F150 Raptor 37,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,14,16,15,2,No,596
FORD F150 Raptor 37,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,15,16,15,2,No,578
FORD F150 Tremor,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,16,20,18,3,No,498
FORD F150 Tremor,3.5,6,SemiAuto-10,4,Gasoline,CA,pickup,6,16,20,18,3,No,503
FORD F150 Tremor,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,16,20,18,3,No,498
FORD F150 Tremor,3.5,6,SemiAuto-10,4,Gasoline,FA,pickup,6,16,20,18,3,No,503
FORD Mustang,2.3,4,SemiAuto-10,2,Gasoline,CA,small car,5,21,32,25,5,No,354
FORD Mustang,2.3,4,SemiAuto-10,2,Gasoline,FA,small car,5,21,32,25,5,No,354
FORD Mustang,5,8,SemiAuto-10,2,Gasoline,CA,small car,3,15,24,19,4,No,479
FORD Mustang,5,8,SemiAuto-10,2,Gasoline,FA,small car,3,15,24,19,4,No,479
FORD Mustang Convertible,2.3,4,SemiAuto-10,2,Gasoline,CA,small car,5,20,28,23,5,No,386
FORD Mustang Convertible,2.3,4,SemiAuto-10,2,Gasoline,FA,small car,5,20,28,23,5,No,386
FORD Mustang Convertible,5,8,SemiAuto-10,2,Gasoline,CA,small car,3,15,23,18,3,No,497
FORD Mustang Convertible,5,8,SemiAuto-10,2,Gasoline,FA,small car,3,15,23,18,3,No,497
FORD Mustang HO Convertible,2.3,4,SemiAuto-10,2,Gasoline,CA,small car,5,19,26,22,5,No,404
FORD Mustang HO Convertible,2.3,4,SemiAuto-10,2,Gasoline,FA,small car,5,19,26,22,5,No,404
FORD Mustang HO Coupe,2.3,4,SemiAuto-10,2,Gasoline,CA,small car,5,20,27,23,5,No,386
FORD Mustang HO Coupe,2.3,4,SemiAuto-10,2,Gasoline,FA,small car,5,20,27,23,5,No,386
FORD Mustang Mach 1,5,8,SemiAuto-10,2,Gasoline,CA,small car,3,15,23,18,3,No,493
FORD Mustang Mach 1,5,8,SemiAuto-10,2,Gasoline,FA,small car,3,15,23,18,3,No,493
FORD Ranger,2.3,4,SemiAuto-10,2,Gasoline,CA,pickup,5,21,26,23,5,No,387
FORD Ranger,2.3,4,SemiAuto-10,2,Gasoline,FA,pickup,5,21,26,23,5,No,387
FORD Ranger,2.3,4,SemiAuto-10,2,Gasoline,CA,pickup,6,20,26,22,5,No,397
FORD Ranger,2.3,4,SemiAuto-10,2,Gasoline,CA,pickup,6,21,26,23,5,No,387
FORD Ranger,2.3,4,SemiAuto-10,2,Gasoline,FA,pickup,6,20,26,22,5,No,397
FORD Ranger,2.3,4,SemiAuto-10,2,Gasoline,FA,pickup,6,21,26,23,5,No,387
FORD Ranger,2.3,4,SemiAuto-10,4,Gasoline,CA,pickup,5,20,24,22,5,No,411
FORD Ranger,2.3,4,SemiAuto-10,4,Gasoline,FA,pickup,5,20,24,22,5,No,411
FORD Ranger,2.3,4,SemiAuto-10,4,Gasoline,CA,pickup,6,19,24,21,4,No,420
FORD Ranger,2.3,4,SemiAuto-10,4,Gasoline,CA,pickup,6,20,24,22,5,No,411
FORD Ranger,2.3,4,SemiAuto-10,4,Gasoline,FA,pickup,6,19,24,21,4,No,420
FORD Ranger,2.3,4,SemiAuto-10,4,Gasoline,FA,pickup,6,20,24,22,5,No,411
FORD Ranger Tremor,2.3,4,SemiAuto-10,4,Gasoline,CA,pickup,3,19,19,19,4,No,468
FORD Ranger Tremor,2.3,4,SemiAuto-10,4,Gasoline,FA,pickup,3,19,19,19,4,No,468
HONDA Accord Sport/Touring,2,4,SemiAuto-10,2,Gasoline,CA,large car,7,22,32,26,5,No,345
HONDA Accord Sport/Touring,2,4,SemiAuto-10,2,Gasoline,FA,large car,7,22,32,26,5,No,345
LEXUS LC 500,5,8,SemiAuto-10,2,Gasoline,CA,small car,5,16,25,19,4,No,473
LEXUS LC 500,5,8,SemiAuto-10,2,Gasoline,FA,small car,5,16,25,19,4,No,473
LEXUS LC 500 Convertible,5,8,SemiAuto-10,2,Gasoline,CA,small car,5,15,25,18,3,No,489
LEXUS LC 500 Convertible,5,8,SemiAuto-10,2,Gasoline,FA,small car,5,15,25,18,3,No,489
LEXUS LS 500,3.4,6,SemiAuto-10,2,Gasoline,CA,midsize car,5,18,29,22,5,No,404
LEXUS LS 500,3.4,6,SemiAuto-10,2,Gasoline,FA,midsize car,5,18,29,22,5,No,404
LEXUS LS 500,3.4,6,SemiAuto-10,4,Gasoline,CA,midsize car,5,17,27,21,4,No,432
LEXUS LS 500,3.4,6,SemiAuto-10,4,Gasoline,FA,midsize car,5,17,27,21,4,No,432
TOYOTA Tundra,3.4,6,SemiAuto-10,2,Gasoline,CA,pickup,5,20,24,22,5,No,410
TOYOTA Tundra,3.4,6,SemiAuto-10,2,Gasoline,FA,pickup,5,20,24,22,5,No,410
TOYOTA Tundra,3.4,6,SemiAuto-10,2,Gasoline,CA,pickup,5,18,23,20,4,No,440
TOYOTA Tundra,3.4,6,SemiAuto-10,2,Gasoline,CA,pickup,5,18,24,20,4,No,441
TOYOTA Tundra,3.4,6,SemiAuto-10,2,Gasoline,FA,pickup,5,18,23,20,4,No,440
TOYOTA Tundra,3.4,6,SemiAuto-10,2,Gasoline,FA,pickup,5,18,24,20,4,No,441
TOYOTA Tundra,3.4,6,SemiAuto-10,4,Gasoline,CA,pickup,5,19,22,20,4,No,441
TOYOTA Tundra,3.4,6,SemiAuto-10,4,Gasoline,FA,pickup,5,19,22,20,4,No,441
TOYOTA Tundra,3.4,6,SemiAuto-10,4,Gasoline,CA,pickup,5,17,22,19,4,No,460
TOYOTA Tundra,3.4,6,SemiAuto-10,4,Gasoline,CA,pickup,5,17,23,19,4,No,459
TOYOTA Tundra,3.4,6,SemiAuto-10,4,Gasoline,FA,pickup,5,17,22,19,4,No,460
TOYOTA Tundra,3.4,6,SemiAuto-10,4,Gasoline,FA,pickup,5,17,23,19,4,No,459
TOYOTA Tundra PRO,3.4,6,SemiAuto-10,4,Gasoline,CA,pickup,5,18,20,19,4,No,461
TOYOTA Tundra PRO,3.4,6,SemiAuto-10,4,Gasoline,FA,pickup,5,18,20,19,4,No,461
PORSCHE 911 Carrera 4 GTS,3,6,Man-7,4,Gasoline,CA,small car,5,17,23,19,4,No,465
PORSCHE 911 Carrera 4 GTS,3,6,Man-7,4,Gasoline,FA,small car,5,17,23,19,4,No,465
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,Man-7,4,Gasoline,CA,small car,5,16,23,19,4,No,477
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,Man-7,4,Gasoline,FA,small car,5,16,23,19,4,No,477
PORSCHE 911 Carrera 4S,3,6,Man-7,4,Gasoline,CA,small car,5,17,25,20,4,No,442
PORSCHE 911 Carrera 4S,3,6,Man-7,4,Gasoline,FA,small car,5,17,25,20,4,No,442
PORSCHE 911 Carrera 4S Cabriolet,3,6,Man-7,4,Gasoline,CA,small car,5,17,24,20,4,No,452
PORSCHE 911 Carrera 4S Cabriolet,3,6,Man-7,4,Gasoline,FA,small car,5,17,24,20,4,No,452
PORSCHE 911 Carrera GTS,3,6,Man-7,2,Gasoline,CA,small car,5,17,24,20,4,No,444
PORSCHE 911 Carrera GTS,3,6,Man-7,2,Gasoline,FA,small car,5,17,24,20,4,No,444
PORSCHE 911 Carrera GTS Cabriolet,3,6,Man-7,2,Gasoline,CA,small car,5,17,24,20,4,No,448
PORSCHE 911 Carrera GTS Cabriolet,3,6,Man-7,2,Gasoline,FA,small car,5,17,24,20,4,No,448
PORSCHE 911 Carrera S,3,6,Man-7,2,Gasoline,CA,small car,5,18,25,21,4,No,425
PORSCHE 911 Carrera S,3,6,Man-7,2,Gasoline,FA,small car,5,18,25,21,4,No,425
PORSCHE 911 Carrera S Cabriolet,3,6,Man-7,2,Gasoline,CA,small car,5,17,25,20,4,No,443
PORSCHE 911 Carrera S Cabriolet,3,6,Man-7,2,Gasoline,FA,small car,5,17,25,20,4,No,443
PORSCHE 911 Targa 4 GTS,3,6,Man-7,4,Gasoline,CA,small car,5,16,23,19,4,No,477
PORSCHE 911 Targa 4 GTS,3,6,Man-7,4,Gasoline,FA,small car,5,16,23,19,4,No,477
PORSCHE 911 Targa 4S,3,6,Man-7,4,Gasoline,CA,small car,5,17,24,20,4,No,447
PORSCHE 911 Targa 4S,3,6,Man-7,4,Gasoline,FA,small car,5,17,24,20,4,No,447
BMW M3,3,6,Man-6,2,Gasoline,CA,small car,5,16,23,19,4,No,472
BMW M3,3,6,Man-6,2,Gasoline,FA,small car,5,16,23,19,4,No,472
BMW M4 Coupe,3,6,Man-6,2,Gasoline,CA,small car,5,16,23,19,4,No,472
BMW M4 Coupe,3,6,Man-6,2,Gasoline,FA,small car,5,16,23,19,4,No,472
CADILLAC CT4 V,3.6,6,Man-6,2,Gasoline,CA,small car,5,15,23,18,3,No,488
CADILLAC CT4 V,3.6,6,Man-6,2,Gasoline,FA,small car,5,15,23,18,3,No,488
CADILLAC CT5 V,6.2,8,Man-6,2,Gasoline,CA,midsize car,3,13,21,15,2,No,573
CADILLAC CT5 V,6.2,8,Man-6,2,Gasoline,FA,midsize car,3,13,21,15,2,No,573
CHEVROLET Camaro,2,4,Man-6,2,Gasoline,CA,small car,5,19,29,22,5,No,385
CHEVROLET Camaro,2,4,Man-6,2,Gasoline,FA,small car,5,19,29,22,5,No,385
CHEVROLET Camaro,3.6,6,Man-6,2,Gasoline,CA,small car,6,16,26,20,4,No,452
CHEVROLET Camaro,3.6,6,Man-6,2,Gasoline,FA,small car,6,16,26,20,4,No,452
CHEVROLET Camaro,6.2,8,Man-6,2,Gasoline,CA,small car,1,14,20,16,3,No,562
CHEVROLET Camaro,6.2,8,Man-6,2,Gasoline,FA,small car,1,14,20,16,3,No,562
