Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
BMW 430i Gran Coupe,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,25,34,28,6,No,312
BMW 530i,2,4,SemiAuto-8,2,Gasoline,CA,midsize car,7,25,33,28,6,No,313
BMW 530i,2,4,SemiAuto-8,2,Gasoline,FA,midsize car,7,25,33,28,6,No,313
BMW 530i,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,7,23,32,26,5,No,332
BMW 530i,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,7,23,32,26,5,No,332
BMW 540i,3,6,SemiAuto-8,2,Gasoline,CA,midsize car,5,25,32,27,6,No,322
BMW 540i,3,6,SemiAuto-8,2,Gasoline,FA,midsize car,5,25,32,27,6,No,322
BMW 540i,3,6,SemiAuto-8,4,Gasoline,CA,midsize car,5,22,29,25,5,No,352
BMW 540i,3,6,SemiAuto-8,4,Gasoline,FA,midsize car,5,22,29,25,5,No,352
BMW 740i,3,6,SemiAuto-8,2,Gasoline,CA,large car,3,22,29,25,5,No,360
BMW 740i,3,6,SemiAuto-8,2,Gasoline,FA,large car,3,22,29,25,5,No,360
BMW 740i,3,6,SemiAuto-8,4,Gasoline,CA,large car,3,20,27,23,5,No,388
BMW 740i,3,6,SemiAuto-8,4,Gasoline,FA,large car,3,20,27,23,5,No,388
BMW 750i,4.4,8,SemiAuto-8,4,Gasoline,CA,large car,3,17,24,19,4,No,454
BMW 750i,4.4,8,SemiAuto-8,4,Gasoline,FA,large car,3,17,24,19,4,No,454
BMW 840i Convertible,3,6,SemiAuto-8,2,Gasoline,CA,small car,3,22,29,25,5,No,360
BMW 840i Convertible,3,6,SemiAuto-8,2,Gasoline,FA,small car,3,22,29,25,5,No,360
BMW 840i Coupe,3,6,SemiAuto-8,2,Gasoline,CA,small car,3,23,30,25,5,No,347
BMW 840i Coupe,3,6,SemiAuto-8,2,Gasoline,FA,small car,3,23,30,25,5,No,347
BMW 840i Gran Coupe,3,6,SemiAuto-8,2,Gasoline,CA,midsize car,3,22,29,25,5,No,360
BMW 840i Gran Coupe,3,6,SemiAuto-8,2,Gasoline,FA,midsize car,3,22,29,25,5,No,360
BMW 840i xDrive Convertible,3,6,SemiAuto-8,4,Gasoline,CA,small car,3,20,27,23,5,No,388
BMW 840i xDrive Convertible,3,6,SemiAuto-8,4,Gasoline,FA,small car,3,20,27,23,5,No,388
BMW 840i xDrive Coupe,3,6,SemiAuto-8,4,Gasoline,CA,small car,3,20,27,23,5,No,388
BMW 840i xDrive Coupe,3,6,SemiAuto-8,4,Gasoline,FA,small car,3,20,27,23,5,No,388
BMW 840i xDrive Gran Coupe,3,6,SemiAuto-8,4,Gasoline,CA,midsize car,3,20,27,23,5,No,388
BMW 840i xDrive Gran Coupe,3,6,SemiAuto-8,4,Gasoline,FA,midsize car,3,20,27,23,5,No,388
BMW ALPINA B7,4.4,8,SemiAuto-8,4,Gasoline,CA,large car,3,17,24,19,4,No,454
BMW ALPINA B7,4.4,8,SemiAuto-8,4,Gasoline,FA,large car,3,17,24,19,4,No,454
BMW ALPINA B8 Gran Coupe,4.4,8,SemiAuto-8,4,Gasoline,CA,midsize car,3,17,24,19,4,No,454
BMW ALPINA B8 Gran Coupe,4.4,8,SemiAuto-8,4,Gasoline,FA,midsize car,3,17,24,19,4,No,454
BMW M235i xDrive Gran Coupe,2,4,SemiAuto-8,4,Gasoline,CA,small car,3,23,32,26,5,No,334
BMW M235i xDrive Gran Coupe,2,4,SemiAuto-8,4,Gasoline,CA,small car,3,23,32,26,5,No,334
BMW M235i xDrive Gran Coupe,2,4,SemiAuto-8,4,Gasoline,FA,small car,3,23,32,26,5,No,334
BMW M240i Coupe,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,23,32,26,5,No,335
BMW M240i Coupe,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,23,32,26,5,No,335
BMW M3 Competition,3,6,SemiAuto-8,2,Gasoline,CA,small car,5,16,23,19,4,No,470
BMW M3 Competition,3,6,SemiAuto-8,2,Gasoline,FA,small car,5,16,23,19,4,No,470
BMW M3 Competition M,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,16,22,18,3,No,477
BMW M3 Competition M,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,16,22,18,3,No,477
BMW M340i,3,6,SemiAuto-8,2,Gasoline,CA,small car,5,23,32,26,5,No,333
BMW M340i,3,6,SemiAuto-8,2,Gasoline,FA,small car,5,23,32,26,5,No,333
BMW M340i,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,23,32,26,5,No,337
BMW M340i,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,23,32,26,5,No,337
BMW M4 Competition Coupe,3,6,SemiAuto-8,2,Gasoline,CA,small car,5,16,23,19,4,No,470
BMW M4 Competition Coupe,3,6,SemiAuto-8,2,Gasoline,FA,small car,5,16,23,19,4,No,470
BMW M4 Competition M,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,16,22,18,3,No,477
BMW M4 Competition M,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,16,22,18,3,No,477
BMW M4 Competition M Convertible,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,16,23,18,3,No,484
BMW M4 Competition M Convertible,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,16,23,18,3,No,484
BMW M440i,3,6,SemiAuto-8,2,Gasoline,CA,small car,5,25,34,28,6,No,312
BMW M440i,3,6,SemiAuto-8,2,Gasoline,FA,small car,5,25,34,28,6,No,312
BMW M440i,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,23,31,26,5,No,339
BMW M440i,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,23,31,26,5,No,339
BMW M440i Convertible,3,6,SemiAuto-8,2,Gasoline,CA,small car,5,23,31,26,5,No,340
BMW M440i Convertible,3,6,SemiAuto-8,2,Gasoline,FA,small car,5,23,31,26,5,No,340
BMW M440i Gran Coupe,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,22,29,25,5,No,360
BMW M440i Gran Coupe,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,22,29,25,5,No,360
BMW M440i xDrive Coupe,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,23,32,26,5,No,337
BMW M440i xDrive Coupe,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,23,32,26,5,No,337
BMW M5,4.4,8,SemiAuto-8,4,Gasoline,CA,midsize car,3,15,21,17,3,No,523
BMW M5,4.4,8,SemiAuto-8,4,Gasoline,FA,midsize car,3,15,21,17,3,No,523
BMW M5 CS,4.4,8,SemiAuto-8,4,Gasoline,CA,midsize car,3,15,21,17,3,No,522
BMW M5 CS,4.4,8,SemiAuto-8,4,Gasoline,FA,midsize car,3,15,21,17,3,No,522
BMW M5 Competition,4.4,8,SemiAuto-8,4,Gasoline,CA,midsize car,3,15,21,17,3,No,523
BMW M5 Competition,4.4,8,SemiAuto-8,4,Gasoline,FA,midsize car,3,15,21,17,3,No,523
BMW M550i,4.4,8,SemiAuto-8,4,Gasoline,CA,midsize car,3,17,25,20,4,No,439
BMW M550i,4.4,8,SemiAuto-8,4,Gasoline,FA,midsize car,3,17,25,20,4,No,439
BMW M760i,6.6,12,SemiAuto-8,4,Gasoline,CA,large car,3,13,20,16,3,No,570
BMW M760i,6.6,12,SemiAuto-8,4,Gasoline,FA,large car,3,13,20,16,3,No,570
BMW M8 Competition Convertible,4.4,8,SemiAuto-8,4,Gasoline,CA,small car,3,15,21,17,3,No,522
BMW M8 Competition Convertible,4.4,8,SemiAuto-8,4,Gasoline,FA,small car,3,15,21,17,3,No,522
BMW M8 Competition Coupe,4.4,8,SemiAuto-8,4,Gasoline,CA,small car,3,15,21,17,3,No,522
BMW M8 Competition Coupe,4.4,8,SemiAuto-8,4,Gasoline,FA,small car,3,15,21,17,3,No,522
BMW M8 Competition Gran Coupe,4.4,8,SemiAuto-8,4,Gasoline,CA,midsize car,3,15,21,17,3,No,522
BMW M8 Competition Gran Coupe,4.4,8,SemiAuto-8,4,Gasoline,FA,midsize car,3,15,21,17,3,No,522
BMW M850i xDrive,4.4,8,SemiAuto-8,4,Gasoline,CA,small car,3,17,25,20,4,No,442
BMW M850i xDrive,4.4,8,SemiAuto-8,4,Gasoline,FA,small car,3,17,25,20,4,No,442
BMW M850i xDrive Convertible,4.4,8,SemiAuto-8,4,Gasoline,CA,small car,3,17,24,19,4,No,454
BMW M850i xDrive Convertible,4.4,8,SemiAuto-8,4,Gasoline,FA,small car,3,17,24,19,4,No,454
BMW M850i xDrive Gran Coupe,4.4,8,SemiAuto-8,4,Gasoline,CA,midsize car,3,17,24,19,4,No,454
BMW M850i xDrive Gran Coupe,4.4,8,SemiAuto-8,4,Gasoline,FA,midsize car,3,17,24,19,4,No,454
BMW X1 sDrive28i,2,4,SemiAuto-8,2,Gasoline,CA,large car,7,24,33,27,6,No,324
BMW X1 sDrive28i,2,4,SemiAuto-8,2,Gasoline,FA,large car,7,24,33,27,6,No,324
BMW X1 xDrive28i,2,4,SemiAuto-8,4,Gasoline,CA,large car,7,23,31,26,5,No,343
BMW X1 xDrive28i,2,4,SemiAuto-8,4,Gasoline,FA,large car,7,23,31,26,5,No,343
BMW X2 M35i,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,3,23,30,26,5,No,339
BMW X2 M35i,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,3,23,30,26,5,No,339
BMW X2 M35i,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,3,23,30,26,5,No,339
BMW X2 sDrive28i,2,4,SemiAuto-8,2,Gasoline,CA,midsize car,7,24,32,27,6,No,330
BMW X2 sDrive28i,2,4,SemiAuto-8,2,Gasoline,FA,midsize car,7,24,32,27,6,No,330
BMW X2 xDrive28i,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,7,24,31,27,6,No,331
BMW X2 xDrive28i,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,7,24,31,27,6,No,331
BMW Z4,2,4,SemiAuto-8,2,Gasoline,CA,small car,7,25,32,28,6,No,317
BMW Z4,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,25,32,28,6,No,317
BMW Z4 M40i,3,6,SemiAuto-8,2,Gasoline,CA,small car,5,22,29,25,5,No,358
BMW Z4 M40i,3,6,SemiAuto-8,2,Gasoline,FA,small car,5,22,29,25,5,No,358
CADILLAC CT4,2,4,SemiAuto-8,2,Gasoline,CA,small car,7,23,34,27,6,No,331
CADILLAC CT4,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,23,34,27,6,No,331
CADILLAC CT4,2,4,SemiAuto-8,4,Gasoline,CA,small car,7,22,31,26,5,No,348
CADILLAC CT4,2,4,SemiAuto-8,4,Gasoline,FA,small car,7,22,31,26,5,No,348
CHEVROLET Camaro,2,4,SemiAuto-8,2,Gasoline,CA,small car,5,22,30,25,5,No,358
CHEVROLET Camaro,2,4,SemiAuto-8,2,Gasoline,FA,small car,5,22,30,25,5,No,358
CHEVROLET Corvette,6.2,8,SemiAuto-8,2,Gasoline,CA,small car,5,16,24,19,4,No,478
CHEVROLET Corvette,6.2,8,SemiAuto-8,2,Gasoline,FA,small car,5,16,24,19,4,No,478
GENESIS G70,2,4,SemiAuto-8,2,Gasoline,CA,small car,3,21,31,24,5,No,367
GENESIS G70,2,4,SemiAuto-8,2,Gasoline,FA,small car,3,21,31,24,5,No,367
GENESIS G70,2,4,SemiAuto-8,4,Gasoline,CA,small car,3,20,28,23,5,No,385
GENESIS G70,2,4,SemiAuto-8,4,Gasoline,FA,small car,3,20,28,23,5,No,385
GENESIS G70,3.3,6,SemiAuto-8,2,Gasoline,CA,small car,3,18,27,21,4,No,433
GENESIS G70,3.3,6,SemiAuto-8,2,Gasoline,FA,small car,3,18,27,21,4,No,433
GENESIS G70,3.3,6,SemiAuto-8,4,Gasoline,CA,small car,3,17,25,20,4,No,447
GENESIS G70,3.3,6,SemiAuto-8,4,Gasoline,FA,small car,3,17,25,20,4,No,447
GENESIS G80,2.5,4,SemiAuto-8,2,Gasoline,CA,large car,5,23,32,26,5,No,345
GENESIS G80,2.5,4,SemiAuto-8,2,Gasoline,FA,large car,5,23,32,26,5,No,345
GENESIS G80,2.5,4,SemiAuto-8,4,Gasoline,CA,large car,5,22,30,25,5,No,360
GENESIS G80,2.5,4,SemiAuto-8,4,Gasoline,FA,large car,5,22,30,25,5,No,360
GENESIS G80,3.5,6,SemiAuto-8,4,Gasoline,CA,large car,5,17,26,20,4,No,439
GENESIS G80,3.5,6,SemiAuto-8,4,Gasoline,FA,large car,5,17,26,20,4,No,439
GENESIS G90,3.3,6,SemiAuto-8,2,Gasoline,CA,large car,3,17,24,19,4,No,459
GENESIS G90,3.3,6,SemiAuto-8,2,Gasoline,FA,large car,3,17,24,19,4,No,459
GENESIS G90,3.3,6,SemiAuto-8,4,Gasoline,CA,large car,3,17,24,20,4,No,460
GENESIS G90,3.3,6,SemiAuto-8,4,Gasoline,FA,large car,3,17,24,20,4,No,460
GENESIS G90,5,8,SemiAuto-8,2,Gasoline,CA,large car,5,16,24,19,4,No,481
GENESIS G90,5,8,SemiAuto-8,2,Gasoline,FA,large car,5,16,24,19,4,No,481
GENESIS G90,5,8,SemiAuto-8,4,Gasoline,CA,large car,5,16,23,18,3,No,488
GENESIS G90,5,8,SemiAuto-8,4,Gasoline,FA,large car,5,16,23,18,3,No,488
HYUNDAI Sonata,1.6,4,SemiAuto-8,2,Gasoline,CA,large car,5,27,37,31,7,No,293
HYUNDAI Sonata,1.6,4,SemiAuto-8,2,Gasoline,FA,large car,5,27,37,31,7,No,293
HYUNDAI Sonata,2.5,4,SemiAuto-8,2,Gasoline,CA,large car,7,27,37,31,7,Yes,293
HYUNDAI Sonata,2.5,4,SemiAuto-8,2,Gasoline,CA,large car,7,28,38,32,7,Yes,282
HYUNDAI Sonata,2.5,4,SemiAuto-8,2,Gasoline,FA,large car,7,27,37,31,7,Yes,293
HYUNDAI Sonata,2.5,4,SemiAuto-8,2,Gasoline,FA,large car,7,28,38,32,7,Yes,282
JAGUAR F-Type P450 Convertible,5,8,SemiAuto-8,2,Gasoline,CA,small car,3,17,24,19,4,No,460
JAGUAR F-Type P450 Convertible,5,8,SemiAuto-8,2,Gasoline,FA,small car,3,17,24,19,4,No,460
JAGUAR F-Type P450 Coupe,5,8,SemiAuto-8,2,Gasoline,CA,small car,3,17,24,19,4,No,460
JAGUAR F-Type P450 Coupe,5,8,SemiAuto-8,2,Gasoline,FA,small car,3,17,24,19,4,No,460
JAGUAR F-Type P450 R-Dynamic Conv,5,8,SemiAuto-8,4,Gasoline,CA,small car,3,16,24,18,3,No,481
JAGUAR F-Type P450 R-Dynamic Conv,5,8,SemiAuto-8,4,Gasoline,FA,small car,3,16,24,18,3,No,481
JAGUAR F-Type P450 R-Dynamic Coupe,5,8,SemiAuto-8,4,Gasoline,CA,small car,3,16,24,18,3,No,481
JAGUAR F-Type P450 R-Dynamic Coupe,5,8,SemiAuto-8,4,Gasoline,FA,small car,3,16,24,18,3,No,481
JAGUAR F-Type R Convertible,5,8,SemiAuto-8,4,Gasoline,CA,small car,3,16,24,18,3,No,481
JAGUAR F-Type R Convertible,5,8,SemiAuto-8,4,Gasoline,FA,small car,3,16,24,18,3,No,481
JAGUAR F-Type R Coupe,5,8,SemiAuto-8,4,Gasoline,CA,small car,3,16,24,18,3,No,481
JAGUAR F-Type R Coupe,5,8,SemiAuto-8,4,Gasoline,FA,small car,3,16,24,18,3,No,481
JAGUAR XF P250,2,4,SemiAuto-8,2,Gasoline,CA,midsize car,7,25,33,28,6,No,317
JAGUAR XF P250,2,4,SemiAuto-8,2,Gasoline,FA,midsize car,7,25,33,28,6,No,317
JAGUAR XF P250,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,7,23,32,26,5,No,336
JAGUAR XF P250,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,7,23,32,26,5,No,336
JAGUAR XF P300,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,7,22,30,25,5,No,352
JAGUAR XF P300,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,7,22,30,25,5,No,352
KIA K5,1.6,4,SemiAuto-8,2,Gasoline,CA,large car,5,27,37,31,7,No,292
KIA K5,1.6,4,SemiAuto-8,2,Gasoline,CA,large car,5,29,38,32,7,No,277
KIA K5,1.6,4,SemiAuto-8,2,Gasoline,FA,large car,5,27,37,31,7,No,292
KIA K5,1.6,4,SemiAuto-8,2,Gasoline,FA,large car,5,29,38,32,7,No,277
KIA K5,1.6,4,SemiAuto-8,4,Gasoline,CA,large car,5,25,33,28,6,No,316
KIA K5,1.6,4,SemiAuto-8,4,Gasoline,FA,large car,5,25,33,28,6,No,316
KIA Stinger,2.5,4,SemiAuto-8,2,Gasoline,CA,midsize car,3,22,32,25,5,No,355
KIA Stinger,2.5,4,SemiAuto-8,2,Gasoline,FA,midsize car,3,22,32,25,5,No,355
KIA Stinger,2.5,4,SemiAuto-8,4,Gasoline,CA,midsize car,3,21,29,24,5,No,380
KIA Stinger,2.5,4,SemiAuto-8,4,Gasoline,FA,midsize car,3,21,29,24,5,No,380
KIA Stinger,3.3,6,SemiAuto-8,2,Gasoline,CA,midsize car,3,18,25,20,4,No,437
KIA Stinger,3.3,6,SemiAuto-8,2,Gasoline,FA,midsize car,3,18,25,20,4,No,437
KIA Stinger,3.3,6,SemiAuto-8,4,Gasoline,CA,midsize car,3,17,24,20,4,No,451
KIA Stinger,3.3,6,SemiAuto-8,4,Gasoline,FA,midsize car,3,17,24,20,4,No,451
LEXUS ES 250,2.5,4,SemiAuto-8,4,Gasoline,CA,midsize car,6,25,34,28,6,No,315
LEXUS ES 250,2.5,4,SemiAuto-8,4,Gasoline,FA,midsize car,6,25,34,28,6,No,315
LEXUS ES 350,3.5,6,SemiAuto-8,2,Gasoline,CA,midsize car,5,22,32,26,5,No,344
LEXUS ES 350,3.5,6,SemiAuto-8,2,Gasoline,FA,midsize car,5,22,32,26,5,No,344
LEXUS ES 350 F Sport,3.5,6,SemiAuto-8,2,Gasoline,CA,midsize car,5,22,31,25,5,No,352
LEXUS ES 350 F Sport,3.5,6,SemiAuto-8,2,Gasoline,FA,midsize car,5,22,31,25,5,No,352
LEXUS IS 300,2,4,SemiAuto-8,2,Gasoline,CA,small car,5,21,31,25,5,No,356
LEXUS IS 300,2,4,SemiAuto-8,2,Gasoline,FA,small car,5,21,31,25,5,No,356
LEXUS IS 350,3.5,6,SemiAuto-8,2,Gasoline,CA,small car,5,20,28,23,5,No,385
LEXUS IS 350,3.5,6,SemiAuto-8,2,Gasoline,FA,small car,5,20,28,23,5,No,385
LEXUS IS 500,5,8,SemiAuto-8,2,Gasoline,CA,small car,5,17,25,20,4,No,451
LEXUS IS 500,5,8,SemiAuto-8,2,Gasoline,FA,small car,5,17,25,20,4,No,451
LEXUS RC 300,2,4,SemiAuto-8,2,Gasoline,CA,small car,5,21,31,25,5,No,356
LEXUS RC 300,2,4,SemiAuto-8,2,Gasoline,FA,small car,5,21,31,25,5,No,356
LEXUS RC 350,3.5,6,SemiAuto-8,2,Gasoline,CA,small car,5,20,28,23,5,No,385
LEXUS RC 350,3.5,6,SemiAuto-8,2,Gasoline,FA,small car,5,20,28,23,5,No,385
LEXUS RC F,5,8,SemiAuto-8,2,Gasoline,CA,small car,5,16,24,19,4,No,459
LEXUS RC F,5,8,SemiAuto-8,2,Gasoline,FA,small car,5,16,24,19,4,No,459
MASERATI MC20,3,6,SemiAuto-8,2,Gasoline,CA,small car,5,15,25,18,3,No,474
MASERATI MC20,3,6,SemiAuto-8,2,Gasoline,FA,small car,5,15,25,18,3,No,474
MINI Cooper Countryman All4,1.5,3,SemiAuto-8,4,Gasoline,CA,midsize car,7,23,30,26,5,No,340
MINI Cooper Countryman All4,1.5,3,SemiAuto-8,4,Gasoline,FA,midsize car,7,23,30,26,5,No,340
MINI Cooper S Clubman All4,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,7,23,32,26,5,No,333
MINI Cooper S Clubman All4,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,7,23,32,26,5,No,333
MINI Cooper S Countryman All4,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,7,23,31,26,5,No,341
MINI Cooper S Countryman All4,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,7,23,31,26,5,No,341
MINI JCW Countryman All4,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,3,23,30,26,5,No,343
MINI JCW Countryman All4,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,3,23,30,26,5,No,343
MINI JCW Countryman All4,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,3,23,30,26,5,No,343
MINI John Cooper Works Clubman All4,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,3,23,31,26,5,No,339
MINI John Cooper Works Clubman All4,2,4,SemiAuto-8,4,Gasoline,CA,midsize car,3,23,31,26,5,No,339
MINI John Cooper Works Clubman All4,2,4,SemiAuto-8,4,Gasoline,FA,midsize car,3,23,31,26,5,No,339
MINI John Cooper Works Convertible,2,4,SemiAuto-8,2,Gasoline,CA,small car,7,24,33,28,6,No,319
MINI John Cooper Works Convertible,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,24,33,28,6,No,319
